2026-08-17 01:26:42,267 | INFO     | main:670 | Processing batch 16/282 (32 profiles)...
2026-08-17 01:27:25,972 | DEBUG    | main:744 |   Processed 5/32 in batch 16
2026-08-17 01:27:25,972 | DEBUG    | main:744 |   Processed 10/32 in batch 16
2026-08-17 01:27:25,973 | DEBUG    | main:744 |   Processed 15/32 in batch 16
2026-08-17 01:27:25,973 | DEBUG    | main:744 |   Processed 20/32 in batch 16
2026-08-17 01:27:25,973 | DEBUG    | main:744 |   Processed 25/32 in batch 16
2026-08-17 01:27:25,974 | DEBUG    | main:744 |   Processed 30/32 in batch 16
2026-08-17 01:27:25,974 | INFO     | main:670 | Processing batch 17/282 (32 profiles)...
2026-08-17 01:28:09,647 | DEBUG    | main:744 |   Processed 5/32 in batch 17
2026-08-17 01:28:09,647 | DEBUG    | main:744 |   Processed 10/32 in batch 17
2026-08-17 01:28:09,648 | DEBUG    | main:744 |   Processed 15/32 in batch 17
2026-08-17 01:28:09,648 | DEBUG    | main:744 |   Processed 20/32 in batch 17
2026-08-17 01:28:09,649 | DEBUG    | main:744 |   Processed 25/32 in batch 17
2026-08-17 01:28:09,649 | DEBUG    | main:744 |   Processed 30/32 in batch 17
2026-08-17 01:28:09,649 | INFO     | main:670 | Processing batch 18/282 (32 profiles)...
2026-08-17 01:28:53,537 | DEBUG    | main:744 |   Processed 5/32 in batch 18
2026-08-17 01:28:53,537 | DEBUG    | main:744 |   Processed 10/32 in batch 18
2026-08-17 01:28:53,538 | DEBUG    | main:744 |   Processed 15/32 in batch 18
2026-08-17 01:28:53,538 | DEBUG    | main:744 |   Processed 20/32 in batch 18
2026-08-17 01:28:53,538 | DEBUG    | main:744 |   Processed 25/32 in batch 18
2026-08-17 01:28:53,539 | DEBUG    | main:744 |   Processed 30/32 in batch 18
2026-08-17 01:28:53,539 | INFO     | main:670 | Processing batch 19/282 (32 profiles)...
2026-08-17 01:29:37,509 | DEBUG    | main:744 |   Processed 5/32 in batch 19
2026-08-17 01:29:37,509 | DEBUG    | main:744 |   Processed 10/32 in batch 19
2026-08-17 01:29:37,510 | DEBUG    | main:744 |   Processed 15/32 in batch 19
2026-08-17 01:29:37,510 | DEBUG    | main:744 |   Processed 20/32 in batch 19
2026-08-17 01:29:37,510 | DEBUG    | main:744 |   Processed 25/32 in batch 19
2026-08-17 01:29:37,511 | DEBUG    | main:744 |   Processed 30/32 in batch 19
2026-08-17 01:29:37,511 | INFO     | main:670 | Processing batch 20/282 (32 profiles)...
2026-08-17 01:30:20,300 | DEBUG    | main:744 |   Processed 5/32 in batch 20
2026-08-17 01:30:20,300 | DEBUG    | main:744 |   Processed 10/32 in batch 20
2026-08-17 01:30:20,301 | DEBUG    | main:744 |   Processed 15/32 in batch 20
2026-08-17 01:30:20,301 | DEBUG    | main:744 |   Processed 20/32 in batch 20
2026-08-17 01:30:20,302 | DEBUG    | main:744 |   Processed 25/32 in batch 20
2026-08-17 01:30:20,302 | DEBUG    | main:744 |   Processed 30/32 in batch 20
2026-08-17 01:30:20,302 | INFO     | main:670 | Processing batch 21/282 (32 profiles)...
2026-08-17 01:31:03,066 | DEBUG    | main:744 |   Processed 5/32 in batch 21
2026-08-17 01:31:03,067 | DEBUG    | main:744 |   Processed 10/32 in batch 21
2026-08-17 01:31:03,067 | DEBUG    | main:744 |   Processed 15/32 in batch 21
2026-08-17 01:31:03,068 | DEBUG    | main:744 |   Processed 20/32 in batch 21
2026-08-17 01:31:03,068 | DEBUG    | main:744 |   Processed 25/32 in batch 21
2026-08-17 01:31:03,068 | DEBUG    | main:744 |   Processed 30/32 in batch 21
2026-08-17 01:31:03,069 | INFO     | main:670 | Processing batch 22/282 (32 profiles)...
2026-08-17 01:31:45,840 | DEBUG    | main:744 |   Processed 5/32 in batch 22
2026-08-17 01:31:45,840 | DEBUG    | main:744 |   Processed 10/32 in batch 22
2026-08-17 01:31:45,841 | DEBUG    | main:744 |   Processed 15/32 in batch 22
2026-08-17 01:31:45,841 | DEBUG    | main:744 |   Processed 20/32 in batch 22
2026-08-17 01:31:45,841 | DEBUG    | main:744 |   Processed 25/32 in batch 22
2026-08-17 01:31:45,842 | DEBUG    | main:744 |   Processed 30/32 in batch 22
